id,topic,info
1,Central Library,Central Library is located in the administrative block
2,CSIT Block,In CSIT block all the labs for IT and CSIT departments are present and classes for almost all CS branches are held there
3,Canteens,"There are two canteen, one is the mechanical block canteen and other one is in CSIT block.This is where students can eat"
4,Administration Block,Administrative block is located just in front of the main gate
5,Electrical Lab,Electrical lab is located on the floor just above the central library in the administrative block
6,Physics Lab,Physics lab is located on the floor just above the central library in the administrative block
7,Cultural society,"Goonj, Euphony, Taal, Footprints, Verve, Horizon, Renaissance."
8,Photocopy shop,"Two photocopy shop, one in the administrative block, and the second one is near AKGIM"
9,Hostel,Both girls and boys hostel are present
10,Gym facility,"Gym is there in the respective boys and girls hostel, and also we have an open gym near AKGIM"
11,Central Library timings,It is from 9 AM to 5 PM from Monday to Saturday.
12,Books,Books are issued in the in the central library itself.
13,Payment for books,Books are issued by the college. You do not have to pay anything.
14,PPS lab,It is located on the third floor of CSIT Block
15,Engineering drawing lab,This lab is present in the ME block on the second floor
16,Mechanics lab,This lab is present on the ground floor of ME Block
17,ATM,There is an ATM on the campus
18,Hospital,Indo German Hospital is there located near boys hostel
19,Files,"To buy the lab files, there is a stationery near the administrative block"
20,sports,"We have a playground which has basketball court badminton court . There is also kabaddi , Football and many other sports."
21,Soft skills lab,"It is located in the administrative block, maybe on the top floor"
22,Registrar office,It is located on the second floor of administrative block
23,Freshers performance,"Second year, give freshers to 1st year."
24,Fest,"No fest in our college, only societies perform"
25,dress code for freshers,The dress code for freshers changes every year for the previous year. It is generally ethnic wear especially for 2nd year.
26,First year classes,First year classes are held in LT’s.
27,Cultural society recruitment,These recruitment takes place in the second semester of first year
28,Saturday off,"Saturdays are off for second year to 4th year, and some Saturdays may be working for first year only."
29,Holidays and academic calendar,Both holiday and academic calendar are present on the AKGECC website
30,Dean,SL kapoor is the dean 1st year
